,Ticker,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Period13,Period14,Period15
0,HKMQ,126.09,129.95,142.13,139.89,138.83,134.28,151.53,132.45,148.72,133.59,141.6,142.9,152.85,142.03,148.46
1,HLNO,103.36,101.2,114.21,101.55,108.39,117.93,105.21,95.44,104.52,99.4,107.35,111.96,97.26,110.95,102.77
2,ICGZ,181.12,180.16,185.73,196.96,208.07,200.51,197.17,192.51,197.04,198.2,195.0,194.37,195.31,198.99,203.69
3,IFHS,146.49,142.9,161.17,169.46,161.51,159.71,151.13,160.01,159.77,162.78,166.36,161.53,169.59,170.75,163.19
4,IGRR,116.88,107.09,116.24,106.04,112.71,128.02,118.33,122.59,117.15,123.79,123.13,131.96,120.17,105.77,134.26
5,JACB,70.61,69.57,77.83,72.33,89.04,77.77,71.25,70.67,80.85,84.12,81.27,75.24,79.61,81.38,82.02
6,JPXV,154.15,147.94,161.57,170.02,179.59,162.52,164.57,159.92,172.69,165.56,169.92,170.26,172.91,167.63,167.61
7,JXH,176.57,171.06,176.23,186.89,179.7,191.59,182.79,174.39,184.95,188.67,181.87,184.13,188.34,179.31,194.75
8,KPXU,234.13,228.03,228.61,241.07,232.64,238.5,234.72,229.95,239.26,253.26,234.41,248.96,243.71,237.71,242.74
9,KSG,180.33,173.05,181.0,181.14,176.7,173.77,183.64,179.83,184.68,186.46,190.03,182.71,185.72,189.32,183.86
10,KTK,96.72,92.32,107.52,108.95,111.99,107.9,115.21,112.41,104.12,113.57,120.21,112.55,107.45,107.18,105.82
11,KUK,169.35,175.75,166.13,177.72,177.68,179.38,171.73,167.39,160.08,172.03,173.13,169.39,168.65,161.16,164.15
12,LAXU,218.93,222.67,232.44,230.28,232.33,230.47,217.97,224.06,209.99,209.66,217.06,201.42,202.51,197.68,194.11
13,LCD,45.21,47.65,51.46,51.92,53.27,60.8,58.27,51.55,55.89,55.13,60.94,59.19,70.82,66.01,54.92
14,LJJO,108.06,108.54,122.84,111.84,108.34,105.34,124.8,112.3,111.75,112.08,107.85,101.89,120.88,113.77,104.6
15,MQA,117.7,119.31,112.0,123.47,129.01,132.41,126.17,120.05,125.41,124.77,121.38,120.19,129.02,119.71,133.74
16,NRFA,117.6,108.98,122.98,124.44,117.21,116.83,119.1,113.19,118.59,109.71,126.66,121.86,122.17,118.33,124.89
17,NSP,380.48,389.12,394.52,390.94,380.14,394.36,382.59,389.12,384.86,392.18,397.21,389.85,386.2,389.54,393.85
18,OIPP,290.14,292.9,285.4,286.76,295.82,286.21,297.24,285.92,295.62,297.37,290.4,285.09,291.02,293.87,296.0
